B01,B04,B06,B08,NDVI,NDBI,NDWI,REVI,NDSI,BSI,LST,building_density_50,building_density_100,building_density_200,building_area_100,building_area_200,distance_to_building,coverage_ratio_100,wind_speed,wind_direction,humidity,solar_flux,UHI Index
846.0,1036.0,1502.0,1906.0,0.2957171991842284,-0.12348953728264073,0.12348953728264073,0.18360914105594955,0.17875544986127626,-0.2957171991842284,38.393941100000006,2,6,20,9532.859890423422,42252.08089859266,16.51017750819167,0.3034403546726703,3.4,196.0,46.7,605.0,1.030288903
846.0,1036.0,1502.0,1906.0,0.2957171991842284,-0.12348953728264073,0.12348953728264073,0.18360914105594955,0.17875544986127626,-0.2957171991842284,38.393941100000006,1,6,18,9787.472851854425,41790.23863425094,16.641958612193662,0.31154493695007235,3.4,196.0,46.7,605.0,1.030288903
846.0,709.0,1668.0,2190.0,0.5108658157985512,-0.19835841313269495,0.19835841313269495,0.4034497265460665,0.34774609015639374,-0.5108658157985512,37.78553354000002,2,6,18,10096.78701457736,41371.06567882905,17.537226601728772,0.3213907125432095,3.4,196.0,46.7,605.0,1.023797758
846.0,657.0,1668.0,2182.0,0.5371609721733005,-0.19659994516040583,0.19659994516040583,0.43483870967741933,0.38077285579641845,-0.5371609721733005,37.78553354000002,2,5,20,10371.259772469677,41399.44445853613,18.14346681705957,0.330127451775735,3.4,196.0,46.7,605.0,1.023797758
846.0,745.0,1728.0,2112.0,0.4784739236961848,-0.15536105032822758,0.15536105032822758,0.39749292357460575,0.3490607252075142,-0.4784739236961848,37.35828104000001,2,5,19,10430.49926382905,42025.087256646424,14.128612575842533,0.33201310335095374,3.4,196.0,46.7,605.0,1.021634043
846.0,745.0,1728.0,2112.0,0.4784739236961848,-0.15536105032822758,0.15536105032822758,0.39749292357460575,0.3490607252075142,-0.4784739236961848,37.35828104000001,2,5,19,10661.194112147037,42262.30203893206,14.337182244560234,0.3393563484420823,3.4,196.0,46.7,605.0,1.021634043
846.0,767.0,1728.0,2354.0,0.5084908683114386,-0.2077988712160082,0.2077988712160082,0.38517034068136274,0.3362180874080485,-0.5084908683114386,37.35828104000001,2,4,20,11292.850303803436,41718.16077939238,15.600108370096448,0.3594625894894258,3.4,196.0,46.7,605.0,1.015142899
1152.0,851.0,1769.0,2216.0,0.4450603195304858,-0.09730131220599159,0.09730131220599159,0.35038167938931297,0.36350037397157814,-0.4450603195304858,37.35828104000001,2,4,20,12079.266975774783,40977.14902198462,16.500488721523347,0.38449500962424926,3.4,196.0,46.7,605.0,1.015142899
1152.0,835.0,1769.0,2072.0,0.4255245958032336,-0.06392811296534018,0.06392811296534018,0.358678955453149,0.37170805116629047,-0.4255245958032336,37.09167548000005,2,4,20,12991.110105025326,40390.6490961385,16.369164234855017,0.4135198778931704,3.4,196.0,46.7,605.0,1.012979184
1152.0,766.0,1460.0,2114.0,0.46805555555555556,-0.06124497991967871,0.06124497991967871,0.31176999101527403,0.4188163884673748,-0.46805555555555556,37.09167548000005,3,5,20,13670.191430921357,39741.02233866131,16.039153044350947,0.4351357078487208,3.4,196.0,46.7,605.0,1.012979184
1152.0,766.0,1460.0,2114.0,0.46805555555555556,-0.06124497991967871,0.06124497991967871,0.31176999101527403,0.4188163884673748,-0.46805555555555556,37.09167548000005,3,5,20,13796.623016076697,39370.42618607887,14.460573291214912,0.43916015019680404,3.4,196.0,46.7,605.0,1.010815469
1152.0,759.0,1460.0,1658.0,0.37194869673148534,0.060090702947845805,-0.060090702947845805,0.31590806669671023,0.4225941422594142,-0.37194869673148534,37.09167548000005,3,6,20,13404.245291333944,38892.416817893085,14.96352820073972,0.426670379306412,3.4,196.0,46.7,605.0,1.010815469
1152.0,743.0,1720.0,1360.0,0.29339039467427486,0.296794208893485,-0.296794208893485,0.39667072675598863,0.5429098738849585,-0.29339039467427486,37.06433132000001,3,7,19,13271.197017007184,39625.80665750663,14.633670764775488,0.4224353212006219,3.4,196.0,46.7,605.0,1.010815469
1152.0,1160.0,1327.0,1874.0,0.23533289386947923,-0.018755096493612396,0.018755096493612396,0.0671491757137113,0.2175379426644182,-0.23533289386947923,36.70202119999999,4,7,19,13595.698816522881,40540.50376761296,11.898619578793815,0.4327645342876496,3.4,196.0,46.7,605.0,1.010815469
1326.0,1570.0,2028.0,2020.0,0.12534818941504178,0.10341766533510874,-0.10341766533510874,0.1272929405225125,0.22583826429980275,-0.12534818941504178,36.70202119999999,5,7,18,13691.627712896152,41577.223548528076,12.626517551282037,0.4358180458962808,3.4,196.0,46.7,605.0,1.010815469
1326.0,1618.0,2028.0,1936.0,0.08947664603263927,0.12437810945273632,-0.12437810945273632,0.11245200219418541,0.21150097465886938,-0.08947664603263927,37.09509350000002,5,7,17,13396.332850581399,42494.452212289005,11.7930037432284,0.4264185184948741,3.4,196.0,46.7,605.0,1.010815469
